sub,video,r_me,original_code,high_low_code,movie_cope_number,actor,emotion
09,BP_H_16.mp4,-0.15046770246899804,BP_H_16,BP_H_high,35,BP,happy
09,BP_H_05.mp4,-0.6529453762267082,BP_H_05,BP_H_low,36,BP,happy
09,BP_N_07.mp4,-1.0308236153414678,BP_N_07,BP_N_high,37,BP,neutral
09,BP_N_01.mp4,-1.2352772490493693,BP_N_01,BP_N_low,38,BP,neutral
09,BP_P_18.mp4,0.7577069531761677,BP_P_18,BP_P_high,39,BP,pain
09,BP_P_02.mp4,-0.7453482906190866,BP_P_02,BP_P_low,40,BP,pain
09,BP_S_18.mp4,0.4468702193439338,BP_S_18,BP_S_high,41,BP,sad
09,BP_S_13.mp4,-0.9444604842916184,BP_S_13,BP_S_low,42,BP,sad
09,JvG_A_19.mp4,-0.10794120020640267,JvG_A_19,JvG_A_high,43,JvG,anger
09,JvG_A_14.mp4,-0.4702455143468229,JvG_A_14,JvG_A_low,44,JvG,anger
09,JvG_D_23.mp4,0.9516142911562825,JvG_D_23,JvG_D_high,45,JvG,disgust
09,JvG_D_02.mp4,-0.5101471187021405,JvG_D_02,JvG_D_low,46,JvG,disgust
09,JvG_F_13.mp4,0.9783562175954219,JvG_F_13,JvG_F_high,47,JvG,fear
09,JvG_F_01.mp4,0.4808254987751862,JvG_F_01,JvG_F_low,48,JvG,fear
09,JvG_H_18.mp4,0.27900245448962957,JvG_H_18,JvG_H_high,49,JvG,happy
09,JvG_H_03.mp4,-0.8418679933724286,JvG_H_03,JvG_H_low,50,JvG,happy
09,JvG_N_17.mp4,-1.103855865536936,JvG_N_17,JvG_N_high,51,JvG,neutral
09,JvG_N_08.mp4,-1.3617987675433794,JvG_N_08,JvG_N_low,52,JvG,neutral
09,JvG_P_20.mp4,1.7279947126672912,JvG_P_20,JvG_P_high,53,JvG,pain
09,JvG_P_16.mp4,0.4818931580144128,JvG_P_16,JvG_P_low,54,JvG,pain
09,JvG_S_24.mp4,0.632769518346919,JvG_S_24,JvG_S_high,55,JvG,sad
09,JvG_S_12.mp4,0.299767507316421,JvG_S_12,JvG_S_low,56,JvG,sad
10,AK_A_32.mp4,0.7656360898775799,AK_A_32,AK_A_high,1,AK,anger
10,AK_A_04.mp4,-0.33742212361140994,AK_A_04,AK_A_low,2,AK,anger
10,AK_D_12.mp4,0.6375553233269624,AK_D_12,AK_D_high,3,AK,disgust
10,AK_D_02.mp4,0.13005265123379775,AK_D_02,AK_D_low,4,AK,disgust
10,AK_F_24.mp4,2.735817023639926,AK_F_24,AK_F_high,5,AK,fear
10,AK_F_02.mp4,0.30346274908998455,AK_F_02,AK_F_low,6,AK,fear
10,AK_H_15.mp4,0.8322718412820059,AK_H_15,AK_H_high,7,AK,happy
10,AK_H_28.mp4,-0.9244948056495828,AK_H_28,AK_H_low,8,AK,happy
10,AK_N_09.mp4,-0.7863427285752529,AK_N_09,AK_N_high,9,AK,neutral
10,AK_N_01.mp4,-0.8529730670590373,AK_N_01,AK_N_low,10,AK,neutral
