sub,run,movie_number,onset_sec,rating
2,5,42,296.45,3
2,5,43,223.13,4
2,5,44,134.1,6
2,5,45,406.53,7
2,5,46,381.21,6
2,5,47,59.23,6
2,5,48,73.39,8
2,5,49,335.41,1
2,5,50,111.5,1
2,5,51,42.18,1
2,5,52,281.65,1
2,5,53,174.73,1
2,5,54,164.51,1
2,5,55,412.34,2
2,5,56,344.21,2
2,6,1,456.65,5
2,6,2,25.45,2
2,6,3,126.4,3
2,6,4,257.22,6
2,6,5,366.97,7
2,6,6,324.47,6
2,6,7,235.09,6
2,6,8,176.99,7
2,6,9,407.64,4
2,6,10,298.25,3
2,6,11,218.74,5
2,6,12,242.98,3
2,6,13,414.47,6
2,6,14,78.2,6
2,6,15,143.53,6
2,6,16,136.43,7
2,6,17,120.12,5
2,6,18,154.46,4
2,6,19,274.38,6
2,6,20,339.81,4
2,6,21,390.15,7
2,6,22,436.79,8
2,6,23,210.83,6
2,6,24,49.22,8
2,6,25,291.01,3
2,6,26,169.84,3
2,6,27,421.17,2
2,6,28,314.63,3
2,6,29,30.53,6
2,6,30,94.08,6
2,6,31,197.94,7
2,6,32,373.88,6
2,6,33,225.96,5
2,6,34,397.95,4
2,6,35,159.09,4
2,6,36,249.33,5
2,6,37,446.69,7
2,6,38,349.49,7
2,6,39,111.56,6
2,6,40,41.67,7
2,6,41,379.13,3
2,6,42,69.29,3
2,6,43,102.17,4
2,6,44,164.03,6
2,6,45,461.69,7
2,6,46,333.16,6
2,6,47,203.43,6
2,6,48,285.44,8
2,6,49,58.25,1
2,6,50,183.54,1
2,6,51,359.87,1
2,6,52,191.52,1
2,6,53,307.85,1
2,6,54,428.82,1
2,6,55,264.09,2
2,6,56,83.04,2
2,7,1,211.89,5
2,7,2,318.27,2
2,7,3,169.64,3
2,7,4,253.01,6
2,7,5,418.92,7
2,7,6,80.04,6
2,7,7,71.53,6
2,7,8,362.66,7
2,7,9,398.53,4
2,7,10,427.11,3
2,7,11,187.02,5
2,7,12,334.64,3
2,7,13,97.63,6
2,7,14,39.73,6
2,7,15,148.59,6
2,7,16,241.68,7
2,7,17,263.12,5
2,7,18,228.83,4
2,7,19,133.98,6
2,7,20,341.88,4
2,7,21,382.82,7
2,7,22,453.71,8
2,7,23,127.43,6
2,7,24,45.49,8
2,7,25,35.02,3
2,7,26,371.07,3
2,7,27,107.56,2
2,7,28,236.65,3
2,7,29,442.66,6
2,7,30,307.72,6
2,7,31,164.39,7
2,7,32,274.11,6
2,7,33,116.11,5
2,7,34,278.91,4
2,7,35,408,4
2,7,36,434.26,5
2,7,37,178.1,7
2,7,38,52.93,7
2,7,39,327.26,6
2,7,40,193.21,7
2,7,41,376.91,3
2,7,42,88.01,3
2,7,43,141.09,4
2,7,44,299.73,6
2,7,45,219.43,7
2,7,46,23.83,6
2,7,47,469.27,6
2,7,48,287.88,8
2,7,49,159.72,1
2,7,50,387.58,1
2,7,51,200.88,1
2,7,52,64.19,1
2,7,53,292.75,1
2,7,54,352.94,1
2,7,55,462.4,2
2,7,56,121.84,2
2,8,1,453.34,5
2,8,2,153.27,2
2,8,3,253.91,3
2,8,4,394.27,6
2,8,5,378.1,7
2,8,6,292.5,6
2,8,7,39.12,6
2,8,8,105.24,7
2,8,9,336.48,4
2,8,10,114.75,3
2,8,11,49.64,5
2,8,12,302.95,3
2,8,13,158.21,6
2,8,14,412.19,6
2,8,15,206.41,6
2,8,16,464.48,7
2,8,17,282.16,5
2,8,18,142.31,4
2,8,19,224.57,6
2,8,20,363.1,4
2,8,21,30.44,7
2,8,22,489.67,8
2,8,23,387.31,6
2,8,24,198.71,8
2,8,25,368.65,3
2,8,26,214.56,3
2,8,27,271.03,2
2,8,28,130.78,3
2,8,29,168.27,6
2,8,30,61.18,6
2,8,31,406.86,7
2,8,32,474.32,6
2,8,33,232.59,5
