2,1,1,310.2094,15166,5,3
2,1,2,82.8049,15250,2,4
2,1,3,379.3248,15667,3,4
2,1,4,258.1269,15250,6,3
2,1,5,415.1742,15167,7,1
2,1,6,182.7782,15250,6,3
2,1,7,139.7206,15583,6,2
2,1,8,31.9474,15250,7,3
2,1,9,44.7388,15250,4,3
2,1,10,327.4007,15250,3,4
2,1,11,174.095,15666,5,4
2,1,12,296.6596,15250,3,4
2,1,13,119.0376,15250,6,3
2,1,14,374.2416,15250,6,3
2,1,15,213.9943,15667,6,3
2,1,16,438.7905,15250,7,3
2,1,17,385.4164,15250,5,3
2,1,18,253.402,15250,4,4
2,1,19,133.1373,15666,6,4
2,1,20,203.8445,15250,4,4
2,1,21,76.9799,15250,7,2
2,1,22,432.0073,15250,8,2
2,1,23,341.2922,15666,6,2
2,1,24,37.3473,15250,8,2
2,1,25,334.9006,15250,3,7
2,1,26,394.9329,15250,3,7
2,1,27,421.7408,15583,2,7
2,1,28,87.4881,15250,3,7
2,1,29,168.5117,15250,6,8
2,1,30,269.1017,15250,6,8
2,1,31,52.597,15583,7,8
2,1,32,223.2525,15167,6,8
2,1,33,232.844,15250,5,3
2,1,34,58.9553,15250,4,3
2,1,35,355.2503,15583,4,4
2,1,36,303.2428,15250,5,4
2,1,37,451.932,15250,7,2
2,1,38,123.9458,15250,7,2
2,1,39,109.9044,15583,6,2
2,1,40,289.243,15250,7,1
2,1,41,238.5606,15167,3,3
2,1,42,98.9046,15250,3,4
2,1,43,26.2975,15666,4,3
2,1,44,444.6738,15250,6,3
2,1,45,279.4932,15250,7,2
2,1,46,157.3286,15250,6,2
2,1,47,364.0251,15666,6,2
2,1,48,320.0509,15250,8,2
2,1,49,21.3892,15250,1,5
2,1,50,407.1827,15250,1,5
2,1,51,401.2412,15583,1,5
2,1,52,149.7454,15250,1,5
2,1,53,246.7938,15250,1,5
2,1,54,193.2197,15250,1,5
2,1,55,347.3587,15583,2,5
2,1,56,69.2968,15250,2,5
2,2,1,401.4336,15250,5,3
2,2,2,211.4951,15250,2,4
2,2,3,99.1804,15583,3,4
2,2,4,280.7356,15250,6,3
2,2,5,67.1059,15250,7,1
2,2,6,305.3519,15250,6,3
2,2,7,177.5707,15583,6,2
2,2,8,387.3005,15250,7,3
2,2,9,339.9679,15250,4,3
2,2,10,168.3959,15250,3,4
2,2,11,392.8837,15666,5,4
2,2,12,220.3033,15250,3,4
2,2,13,121.8467,15250,6,3
2,2,14,415.85,15250,6,3
2,2,15,25.5316,15583,6,3
2,2,16,260.4276,15250,7,3
2,2,17,57.1061,15250,5,3
2,2,18,225.9699,15250,4,4
2,2,19,82.814,15667,6,4
2,2,20,266.0859,15250,4,4
2,2,21,446.1161,15250,7,2
2,2,22,366.3342,15250,8,2
2,2,23,142.3463,15666,6,2
2,2,24,299.202,15250,8,2
2,2,25,158.5377,15250,3,7
2,2,26,234.7114,15250,3,7
2,2,27,72.3892,15583,2,7
2,2,28,250.9528,15250,3,7
2,2,29,36.7981,15250,6,8
2,2,30,438.733,15250,6,8
2,2,31,325.6349,15666,7,8
2,2,32,351.3594,15250,6,8
2,2,33,41.9647,15250,5,3
2,2,34,116.0634,15250,4,3
2,2,35,433.8747,15583,4,4
2,2,36,130.6132,15250,5,4
2,2,37,372.9174,15250,7,2
2,2,38,240.3863,15250,7,2
2,2,39,197.3954,15667,6,2
2,2,40,317.86,15250,7,1
2,2,41,426.1582,15250,3,3
2,2,42,152.1461,15250,3,4
2,2,43,291.6854,15666,4,3
2,2,44,105.9636,15250,6,3
2,2,45,312.0684,15166,7,2
2,2,46,381.5673,15250,6,2
2,2,47,202.1203,15583,6,2
